TT	PID	AT	CT	IO_D	WT	RT	TRT
28	14	20	0	0	7	8	8
29	5	7	4	10	17	1	22
102	66	97	1	0	4	5	5
111	7	8	20	51	83	1	103
116	34	52	13	92	51	10	64
128	29	45	14	49	69	1	83
130	35	53	5	28	72	5	77
138	54	83	5	75	50	51	55
209	56	85	10	58	114	1	124
233	32	50	181	0	2	1	183
294	88	124	12	0	158	95	170
299	83	117	5	0	177	178	182
392	76	108	245	0	39	1	284
438	58	88	17	0	333	141	350
465	52	78	65	0	322	14	387
468	48	72	4	47	392	258	396
477	30	47	10	0	420	346	430
508	113	159	10	62	339	9	349
559	20	30	267	0	262	49	529
565	16	24	175	6	366	2	541
671	89	127	174	0	370	167	544
699	92	132	146	0	421	5	567
710	77	111	253	0	346	17	599
722	79	114	46	23	562	101	608
807	121	170	20	84	617	35	637
918	106	151	48	0	719	29	767
935	69	101	226	0	608	220	834
945	63	93	288	9	564	10	852
946	73	106	60	0	780	525	840
954	57	86	119	17	749	4	868
974	1	3	258	0	713	1	971
979	3	3	70	0	906	1	976
1004	45	65	76	0	863	68	939
1029	26	42	123	0	864	1	987
1060	114	162	254	0	644	404	898
1157	111	158	154	0	845	4	999
1157	85	119	27	62	1011	73	1038
1172	84	118	224	9	830	1	1054
1175	19	30	27	0	1118	470	1145
1243	33	52	59	76	1132	7	1191
1248	22	36	272	0	940	4	1212
1250	18	27	114	0	1109	3	1223
1313	95	140	74	0	1099	494	1173
1322	67	97	163	43	1062	34	1225
1331	60	91	232	0	1008	615	1240
1359	118	166	119	46	1074	29	1193
1362	51	78	212	35	1072	11	1284
1365	59	90	49	0	1226	882	1275
1372	39	59	41	0	1272	336	1313
1391	100	147	52	0	1192	27	1244
1447	25	40	77	0	1330	600	1407
1470	43	63	248	0	1159	1	1407
1529	9	12	268	0	1249	1	1517
1552	27	44	19	83	1489	710	1508
1562	110	155	104	0	1303	2	1407
1581	6	7	234	0	1340	1	1574
1611	117	166	26	116	1419	27	1445
1649	74	108	83	0	1458	290	1541
1662	44	64	144	9	1454	125	1598
1702	68	99	76	0	1527	538	1603
1727	80	114	240	19	1373	25	1613
1744	104	150	203	0	1391	174	1594
1747	97	144	259	0	1344	69	1603
1771	23	36	91	79	1644	1	1735
1795	31	48	122	22	1625	344	1747
1844	61	91	202	15	1551	10	1753
1853	42	63	189	9	1601	81	1790
1859	12	17	42	99	1800	13	1842
1872	94	137	106	0	1629	15	1735
1945	107	152	266	0	1527	21	1793
2009	71	102	129	25	1778	93	1907
2034	13	20	277	0	1737	5	2014
2055	105	150	83	50	1822	78	1905
2076	50	76	125	71	1875	127	2000
2087	21	33	259	21	1795	4	2054
2094	102	150	63	61	1881	58	1944
2097	70	102	189	0	1806	949	1995
2118	55	84	55	36	1979	114	2034
2143	99	146	64	19	1933	37	1997
2173	15	21	149	38	2003	48	2152
2178	93	134	228	0	1816	12	2044
2184	10	12	186	0	1986	712	2172
2224	46	67	198	12	1959	256	2157
2265	4	4	277	0	1984	1	2261
2278	49	75	184	0	2019	332	2203
2301	90	130	252	0	1919	1	2171
2316	91	131	165	0	2020	3	2185
2323	38	58	287	0	1978	16	2265
2343	53	81	64	58	2198	297	2262
2379	36	53	112	82	2214	12	2326
2391	96	142	230	0	2019	266	2249
2397	2	3	250	24	2144	1	2394
2478	37	56	268	0	2154	148	2422
2481	82	115	229	34	2137	228	2366
2495	116	166	280	21	2049	27	2329
2504	11	15	182	66	2307	4	2489
2553	8	10	205	0	2338	1	2543
2635	81	114	171	55	2350	10	2521
2661	65	97	154	76	2410	793	2564
2684	109	155	257	33	2272	1	2529
2692	119	167	263	40	2262	31	2525
2700	101	149	59	58	2491	37	2551
2718	75	108	221	26	2389	47	2610
2745	86	121	109	104	2515	118	2624
2754	122	171	135	0	2448	36	2583
2763	72	105	222	51	2436	14	2658
2772	17	26	277	42	2469	3	2746
2797	112	158	267	71	2372	7	2639
2818	108	153	263	0	2402	571	2665
2826	28	45	197	36	2584	707	2781
2861	64	94	88	92	2679	12	2767
2870	87	122	107	102	2641	40	2748
2905	40	59	177	75	2669	419	2846
2934	98	144	289	68	2501	88	2790
2943	41	60	200	78	2683	70	2883
2952	78	111	290	56	2551	1	2841
2954	24	39	147	56	2768	281	2915
2954	120	170	246	67	2538	34	2784
2970	115	165	287	96	2518	27	2805
3062	103	150	282	98	2630	87	2912
3072	47	70	240	88	2762	230	3002
3177	62	93	283	80	2801	882	3084
Processes: 122

Avg WT=1436,		Avg RT=140,		Avg TRT=1585
Migration:		RTF = 57%		MaxW = 0% 
Work Steal: 57% 
Forked Process: 0% 
Killed Process: 0% 
Before Deadline: 5% 

Processors: 7 [0 FCFS, 2 SJF, 2 EDF, 3 RR]
Processor Load
p1=16%	p2=16%	p3=14%	p4=15%	p5=16%	p6=15%	p7=15%	

Processor Utilization
p1=88%	p2=88%	p3=80%	p4=87%	p5=92%	p6=87%	p7=86%	

Avg utilization = 86% 
