TT	PID	AT	CT	IO_D	WT	RT	TRT
10	2	6	4	0	0	1	4
92	33	60	8	64	24	16	32
101	17	33	22	71	46	1	68
135	305	73	44	0	18	19	62
135	307	95	40	0	40	-1	40
138	51	100	38	0	0	1	38
161	63	129	32	0	0	1	32
198	13	24	53	19	121	1	174
271	130	222	49	0	0	1	49
275	7	15	260	0	0	1	260
275	300	18	257	0	217	1	257
275	301	19	256	0	226	9	256
275	303	31	252	0	244	-1	244
293	66	135	13	0	145	10	158
334	152	258	3	0	73	74	76
364	304	72	288	0	4	5	292
364	306	83	281	0	281	-1	281
421	102	182	9	72	230	26	239
471	242	395	7	64	69	1	76
534	308	139	169	0	226	227	395
534	311	366	168	0	168	-1	168
543	165	275	268	0	0	1	268
543	309	276	267	0	267	-1	267
581	236	386	186	0	9	10	195
581	313	396	185	0	185	-1	185
640	316	592	48	0	0	1	48
640	317	594	46	0	46	-1	46
640	312	387	59	0	194	195	253
662	302	24	113	0	525	252	638
662	310	277	111	0	284	268	385
662	314	547	108	0	105	1	115
662	315	550	105	0	92	92	112
662	318	646	100	0	16	-1	16
690	269	437	237	0	16	1	253
744	174	289	2	75	453	1	455
813	79	148	9	56	656	304	665
821	154	259	36	0	526	45	562
853	134	232	132	0	489	1	621
861	128	219	23	11	619	250	642
915	26	52	16	27	847	14	863
1026	131	225	16	0	785	58	801
1034	160	266	299	0	469	49	768
1053	37	70	47	65	936	1	983
1087	46	88	199	44	800	15	999
1165	299	482	67	0	616	44	683
1185	16	31	71	0	1083	7	1154
1214	38	73	273	0	868	87	1141
1237	94	174	27	38	1036	1	1063
1297	89	166	4	0	1127	1068	1131
1324	15	28	24	0	1272	129	1296
1325	204	338	24	0	963	149	987
1394	233	382	7	0	1005	424	1012
1407	138	237	80	42	1090	67	1170
1430	267	436	13	0	981	92	994
1472	199	329	47	0	1096	334	1143
1477	205	338	242	0	897	1	1139
1539	106	189	21	0	1329	43	1350
1731	281	452	282	15	997	10	1279
1738	1	3	139	0	1596	1	1735
1743	49	97	89	0	1557	1	1646
1813	150	254	20	0	1539	46	1559
1840	200	332	158	0	1350	54	1508
1884	140	240	18	78	1626	414	1644
1896	132	227	18	0	1651	383	1669
1973	167	277	156	0	1540	675	1696
1989	39	75	15	0	1899	1089	1914
2186	246	405	17	0	1764	619	1781
2205	45	88	115	10	2002	12	2117
2261	10	20	82	72	2159	1	2241
2280	274	442	134	28	1704	4	1838
2301	153	259	47	8	1995	76	2042
2314	193	318	58	0	1938	1	1996
2443	297	480	120	0	1843	40	1963
2600	209	343	169	0	2088	613	2257
2621	68	137	15	62	2469	216	2484
2641	217	358	19	88	2264	575	2283
2643	271	440	15	45	2188	351	2203
2647	143	243	276	0	2128	143	2404
2802	142	242	214	0	2346	71	2560
2825	158	265	67	25	2493	44	2560
2829	64	132	47	9	2650	1	2697
2882	220	363	23	0	2496	274	2519
2893	149	251	214	0	2428	224	2642
2893	61	126	285	0	2482	508	2767
2927	203	335	55	0	2537	456	2592
3015	71	139	28	74	2848	501	2876
3118	115	199	173	0	2746	180	2919
3198	176	292	13	0	2893	1120	2906
3242	213	351	168	0	2723	309	2891
3325	44	85	45	0	3195	20	3240
3368	118	205	272	19	2891	1	3163
3422	127	216	35	9	3171	251	3206
3466	276	443	241	0	2782	459	3023
3527	119	208	149	12	3170	1	3319
3557	8	17	120	43	3420	1	3540
3634	166	275	48	32	3311	426	3359
3652	137	235	31	0	3386	745	3417
3929	12	22	67	24	3840	6	3907
3996	139	237	218	0	3541	228	3759
4187	103	185	230	39	3772	29	4002
4362	126	216	52	0	4094	289	4146
4451	47	91	142	63	4218	108	4360
4458	100	178	289	17	3991	21	4280
4469	3	9	184	0	4276	1	4460
4499	121	211	84	0	4204	1	4288
4554	43	83	145	60	4326	1	4471
4593	214	353	116	27	4124	400	4240
4617	4	12	78	24	4527	1	4605
4631	185	304	98	0	4229	446	4327
4647	194	319	220	6	4108	1	4328
4820	18	36	152	0	4632	19	4784
4861	40	78	251	72	4532	222	4783
4881	171	282	209	0	4390	456	4599
4888	298	480	99	23	4309	43	4408
4890	58	119	172	0	4599	18	4771
4893	261	423	40	0	4430	639	4470
4992	116	201	62	58	4729	31	4791
5026	175	290	163	37	4573	1	4736
5163	260	420	45	0	4698	893	4743
5197	162	270	239	0	4688	681	4927
5272	42	82	146	0	5044	1	5190
5434	73	143	231	8	5060	300	5291
5445	76	144	49	0	5252	234	5301
5456	168	278	267	19	4911	2040	5178
5459	294	474	123	0	4862	28	4985
5628	69	138	271	0	5219	244	5490
5657	263	428	41	66	5188	657	5229
5676	163	271	108	0	5297	134	5405
5717	145	246	87	0	5384	37	5471
5735	5	14	96	6	5625	1	5721
5792	80	149	238	0	5405	306	5643
5828	201	332	294	60	5202	1	5496
5847	215	355	274	54	5218	575	5492
6000	125	216	133	51	5651	286	5784
6015	268	437	75	43	5503	97	5578
6089	181	297	83	0	5709	109	5792
